age;mention_bac;distance_domicile_km;heures_travail_remunere_sem;taux_presence_pct;connexions_lms_30j;heures_lms_total;ressources_consultees;retards_rendus;nb_devoirs_rendus;messages_forum;motivation;satisfaction;sentiment_appartenance;date_inscription;moyenne_finale;abandon;ects_semestre;capacite_accueil;volume_horaire_s1;taux_reussite_historique_pct;filiere_Biologie;filiere_Droit;filiere_Gestion;filiere_Informatique;filiere_Lettres;filiere_Mathematiques;filiere_Psychologie;filiere_STAPS;bac_type_general;bac_type_pro;bac_type_techno;faculte_Droit-Science Po;faculte_Lettres & Langues;faculte_STAPS;faculte_Sciences & Technologies;faculte_Sciences Humaines;faculte_Économie-Gestion;etablissement_origine_autre;etablissement_origine_cfa;etablissement_origine_lycee_prive;etablissement_origine_lycee_public;etablissement_origine_nan
22;1.0;2.2;0.0;86.3;33.0;35.4;73;2;11;4;;3.0;;04-09-2024;15.06;0;30;830;282;65;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0
19;0.0;18.8;9.0;77.5;45.0;56.7;114;3;10;7;3.0;5.0;3.0;27-09-2024;15.61;0;28;480;265;78;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0
17;1.0;42.8;0.0;74.6;37.0;77.1;77;4;6;4;2.0;3.0;1.0;26-09-2024;14.85;0;28;480;265;78;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0
20;2.0;12.0;15.0;68.2;22.0;46.7;30;5;5;4;4.0;3.0;4.0;19-09-2024;13.02;0;30;930;293;75;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0
21;2.0;8.2;0.0;62.1;25.0;42.7;48;7;7;0;3.0;2.0;2.0;04-09-2024;4.79;1;28;710;325;60;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
21;0.0;31.1;13.0;63.4;40.0;52.3;81;7;9;2;1.0;3.0;2.0;19-09-2024;1.56;1;30;830;282;65;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0
22;2.0;17.0;6.0;60.8;15.0;30.0;28;7;7;0;2.0;3.0;2.0;04-09-2024;3.14;1;28;480;265;78;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0
17;1.0;16.4;;64.5;19.0;27.4;17;2;9;1;3.0;5.0;3.0;25-09-2024;15.06;0;30;810;265;81;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0
19;1.0;17.1;0.0;63.6;17.0;32.1;27;7;7;0;1.0;2.0;1.0;03-09-2024;1.13;1;30;810;265;81;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
22;1.0;5.5;;95.3;37.0;75.0;65;3;8;3;3.0;3.0;4.0;05-09-2024;14.08;0;28;710;325;60;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0
18;1.0;16.6;0.0;78.5;40.0;53.6;92;2;9;4;5.0;;3.0;18-09-2024;16.1;0;28;710;325;60;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0
22;1.0;4.4;16.0;66.6;31.0;63.3;95;3;11;3;3.0;;4.0;12-09-2024;12.35;0;28;480;265;78;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0
23;1.0;6.3;;76.2;22.0;41.7;61;4;10;2;3.0;5.0;4.0;26-09-2024;15.9;0;28;710;325;60;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0
18;1.0;24.4;0.0;69.1;3.0;6.5;22;5;6;1;1.0;;2.0;27-09-2024;5.22;1;30;980;247;60;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
22;2.0;35.8;10.0;79.6;30.0;59.2;50;4;8;2;5.0;1.0;2.0;24-09-2024;14.53;0;30;980;247;60;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
