student_id,annee_universitaire,filiere,age,sexe,bac_type,mention_bac,etablissement_origine,boursier,distance_domicile_km,heures_travail_remunere_sem,taux_presence_pct,connexions_lms_30j,heures_lms_total,ressources_consultees,retards_rendus,nb_devoirs_total,nb_devoirs_rendus,messages_forum,moyenne_partiels_s1,nb_ue_total,nb_ue_validees_s1,motivation,satisfaction,sentiment_appartenance,groupe_td,couleur_carte_etudiante,jour_inscription,id_dossier,date_inscription,moyenne_finale,abandon,commentaire_tuteur
ETU-03041,2024-2025,droit,22,NB,TECHNO,AB,lycee_public,Oui,"2,2",0.0,"86,3",33,35.4,73,2,12,11,4,"10,17",6,5,,3,,D,jaune,mercredi,265469,04 Sep 2024,15.06,0,RAS.
ETU-03916,2024-2025,Lettres,19,femme,general,passable,lycee_public,N,18.8,9.0,77.5%,45,56.7,114,3,13,10,7,,5,4,3,5,3,C,bleu,vendredi,800111,2024-09-27,15.61,0,
ETU-05174,2024-2025, Lettres ,17,h,general,ab,lycee_public,Non,"42,8",0.0,"74,6",37,77.1,77,4,9,6,4,10.17,5,4,2,3,1,A,bleu,jeudi,982786,26/09/2024,14.85,0,"Motivation en berne, à accompagner."
ETU-03759,2024-2025,gestion,20,f,TECHNO,B,lycee_public,O,12.0 km,15.0,"68,2",22,46.7,30,5,10,5,4,10.75,6,5,4,3,4,D,bleu,jeudi,457438,19/09/2024,13.02,0,Profil dans la moyenne.
ETU-03407,2024-2025, Biologie ,21,femme,GEN,Bien,lycee_public,O,"8,2",0.0,62.1%,25,42.7,48,7,9,7,0,8.96,6,2,3,2,2,D,jaune,mercredi,372576,04/09/2024,4.79,1,
ETU-04706,2024-2025,Droit,21,Homme,techno,Passable,lycee_public,non,"31,1",13.0,63.4,40,52.3,81,7,11,9,2,"3,93",6,0,1,3,2,G,gris,jeudi,408861,19 Sep 2024,1.56,1,
ETU-02274,2024-2025,Lettres,22,f,Generale,B,lycee_public,O,17.0,6.0,60.8%,15,30.0,28,7,12,7,0,7.35,6,4,2,3,2,B,jaune,mercredi,260317,04 Sep 2024,3.14,1,Résultats fragiles aux partiels.
ETU-01385,2024-2025,psychologie,17,F,Generale,ab,lycee_prive,Oui,16.4,,64.5%,19,27.4,17,2,13,9,1,11.08,6,6,3,5,3,D,rouge,mercredi,699408,25/09/2024,15.06,0,
ETU-02817,2024-2025,Psychologie,19,femme,général ,AB,cfa,Oui,17.1,0.0,63.6,17,32.1,27,7,11,7,0,4.77,6,3,1,2,1,B,bleu,mardi,612310,2024-09-03,1.13,1,En difficulté sur les évaluations.
ETU-03049,2024-2025,Biologie,22,femme,techno,Assez Bien,lycee_public,0,5.5,,95.3,37,75.0,65,3,10,8,3,8.86,6,5,3,3,4,H,gris,jeudi,385676,05/09/2024,14.08,0,
ETU-03975,2024-2025,Biologie,18,Femme,pro,AB,lycee_public,Oui,16.6,0.0,"78,5",40,53.6,92,2,9,9,4,11.48,5,5,5,,3,B,bleu,mercredi,135249,2024-09-18,16.1,0,RAS.
ETU-02683,2024-2025,Lettres,22,Homme,Professionnel,Assez Bien,lycee_public,non,4.4,16.0,66.6%,31,63.3,95,3,13,11,3,"8,33",6,2,3,,4,A,bleu,jeudi,507498,12 Sep 2024,12.35,0,RAS.
ETU-05128,2024-2025,biologie,23,h,techno,AB,lycee_public,1,"6,3",,76.2,22,41.7,61,4,11,10,2,10.94,5,3,3,5,4,C,jaune,jeudi,172508,2024-09-26,15.9,0,
ETU-04078,2024-2025,Informatique,18,f,GEN,Assez Bien,lycee_public,Oui,"24,4",0.0,69.1,3,6.5,22,5,10,6,1,"9,9",6,2,1,,2,G,rouge,vendredi,370619,2024-09-27,5.22,1,
ETU-03091,2024-2025,Informatique,22,M,GEN,B,cfa,oui,"35,8",10.0,79.6,30,59.2,50,4,11,8,2,"14,83",7,7,5,1,2,A,gris,mardi,201189,24/09/2024,14.53,0,
ETU-03214,2024-2025,Psychologie,17,Femme,pro,P,lycee_public,non,,9.0,80.4,22,15.7,65,2,12,9,3,"7,18",5,1,3,3,4,H,bleu,mercredi,908817,11 Sep 2024,13.8,0,En difficulté sur les évaluations.
ETU-02890,2024-2025, Informatique ,19,Femme,general,Assez Bien,lycee_prive,0,98.9,25.0,"64,1",18,24.2,28,7,13,8,0,10.51,6,6,2,2,,H,bleu,mercredi,634486,25/09/2024,10.63,0,"Motivation en berne, à accompagner."
ETU-01779,2024-2025,gestion,19,F,Général,ab,lycee_public,Oui,29.6,,88.9,36,68.8,99,2,8,8,6,"14,73",7,6,4,3,3,D,gris,jeudi,995394,05 Sep 2024,17.06,0,
ETU-04202,2024-2025,INFORMATIQUE,18,F,général ,Assez Bien,lycee_public,Non,15.8,18.0,82.8%,27,36.3,53,7,9,7,4,14.13,5,5,4,3,4,C,vert,jeudi,300863,2024-09-12,16.43,0,Travail sérieux et régulier.
ETU-04936,2024-2025,biologie,18,H,TECHNO,Passable,lycee_public,non,"6,5",20.0,"63,9",3,2.2,1,5,10,5,0,9.87,6,4,,1,4,A,rouge,mardi,189642,2024-09-03,4.81,1,Engagement en ligne très faible.
ETU-01005,2024-2025,INFORMATIQUE,20,F,Generale,B,lycee_public,1,33.0,9.0,74.8%,28,50.7,65,5,10,6,0,13.15,6,6,4,3,2,H,vert,jeudi,796462,19 Sep 2024,16.13,0,Suivi sans particularité.
ETU-02746,2024-2025,Informatique,22,F,GEN,Assez Bien,lycee_prive,non,76.4,7.0,85.9,39,60.2,76,3,12,10,8,10.83,7,5,2,5,3,C,gris,jeudi,582092,2024-09-05,14.39,0,Semble peu engagé dans la formation.
ETU-00969,2024-2025, Gestion ,22,NR,general,,lycee_public,N,37.7,8.0,96.7%,26,20.9,44,4,12,9,3,10.74,5,4,3,2,4,B,gris,mercredi,804097,25 Sep 2024,15.45,0,
ETU-00408,2024-2025,INFORMATIQUE,21,h,techno,passable,lycee_public,oui,5.0,11.0,85.2,36,56.5,73,6,9,8,8,9.08,6,1,4,3,2,F,rouge,vendredi,515974,2024-09-13,15.29,0,
ETU-03247,2024-2025,STAPS,18,H,Général,Passable,lycee_public,Non,,0.0,77.2%,22,35.2,46,2,12,8,2,7.36,6,2,3,4,3,A,gris,vendredi,525069,13/09/2024,13.17,0,
ETU-02962,2024-2025,staps,19,Femme,Generale,,lycee_public,N,,,73.1,31,55.6,73,4,11,9,1,13.72,6,6,,1,1,C,gris,vendredi,932068,27/09/2024,18.1,0,
ETU-04376,2024-2025,Mathematiques,17,Femme,Technologique,Passable,,O,15.6,9.0,69.6%,22,25.6,55,4,8,6,1,15.45,7,6,4,3,,B,gris,jeudi,672926,2024-09-12,16.85,0,Suivi sans particularité.
ETU-01902,2024-2025, Informatique ,22,femme,TECHNO,AB,lycee_prive,N,13.9,11.0,"84,4",23,38.8,53,4,8,6,5,12.36,7,7,2,3,2,H,bleu,vendredi,369800,2024-09-20,15.72,0,
ETU-02491,2024-2025,informatique,21,f,Generale,Bien,lycee_public,0,9.9,8.0,60.3%,3,6.4,5,4,11,9,0,,6,4,1,2,2,D,bleu,mercredi,619700,2024-09-04,6.19,1,
